data,name,I,E,R,Days
2021/8/10,天津市,30,13,406,587
2021/8/11,天津市,30,16,406,588
2021/8/12,天津市,29,23,407,589
2021/8/13,天津市,29,27,409,590
2021/8/14,天津市,32,20,409,591
2021/8/15,天津市,30,19,412,592
2021/8/16,天津市,30,22,412,593
2021/8/17,天津市,33,14,412,594
2021/8/18,天津市,11,26,414,595
2021/8/19,天津市,42,24,414,596
2021/8/20,天津市,43,22,416,597
2021/8/21,天津市,41,38,418,598
2021/8/22,天津市,42,41,420,599
2021/8/23,天津市,42,40,421,600
2021/8/24,天津市,43,25,421,601
2021/8/25,天津市,43,34,422,602
2021/8/26,天津市,42,33,424,603
2021/8/27,天津市,41,20,425,604
2021/8/28,天津市,44,23,426,605
2021/8/29,天津市,46,23,426,606
2021/8/30,天津市,46,35,427,607
2021/8/31,天津市,47,40,428,608
2021/9/1,天津市,46,45,429,609
2021/9/2,天津市,43,43,432,610
2021/9/3,天津市,43,33,433,611
2021/9/4,天津市,44,39,434,612
2021/9/5,天津市,42,38,436,613
2021/9/6,天津市,41,40,437,614
2021/9/7,天津市,37,48,441,615
2021/9/8,天津市,36,51,442,616
2021/9/9,天津市,34,47,444,617
2021/9/10,天津市,31,40,447,618
